date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:13	29542/29542	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202015%2006:32:30%20GMT	https://demoxml.com/html/hotelbooking/about-us.html	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/about-us.html	(from https://demoxml.com/html/hotelbooking/)
16:09:13	43800/43800	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202015%2006:29:20%20GMT	https://demoxml.com/html/hotelbooking/room-details.html	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/room-details.html	(from https://demoxml.com/html/hotelbooking/)
16:09:13	31071/31071	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202015%2006:29:24%20GMT	https://demoxml.com/html/hotelbooking/staff.html	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/staff.html	(from https://demoxml.com/html/hotelbooking/)
16:09:14	16637/16637	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202015%2006:32:32%20GMT	https://demoxml.com/html/hotelbooking/404.html	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/404.html	(from https://demoxml.com/html/hotelbooking/)
16:09:14	24236/24236	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202015%2006:31:46%20GMT	https://demoxml.com/html/hotelbooking/blog.html	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/blog.html	(from https://demoxml.com/html/hotelbooking/)
16:09:14	22327/22327	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202015%2006:31:44%20GMT	https://demoxml.com/html/hotelbooking/contact-us.html	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/contact-us.html	(from https://demoxml.com/html/hotelbooking/)
16:09:14	1341/1341	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202015%2017:12:42%20GMT	https://demoxml.com/html/hotelbooking/img/call-icon.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/call-icon.png	(from https://demoxml.com/html/hotelbooking/)
16:09:15	14441/14441	---M--	200	added ('OK')	image/png	date:Sat,%2009%20May%202015%2017:04:14%20GMT	https://demoxml.com/html/hotelbooking/img/special-offer-main.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/special-offer-main.png	(from https://demoxml.com/html/hotelbooking/)
16:09:16	271298/271298	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20May%202015%2017:39:28%20GMT	https://demoxml.com/html/hotelbooking/img/rev-slider/slider-one.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/rev-slider/slider-one.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:16	48636/48636	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2003:48:14%20GMT	https://demoxml.com/html/hotelbooking/img/room-image-five.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/room-image-five.png	(from https://demoxml.com/html/hotelbooking/)
